id,date,revenue
1080,2019-12-18,
1081,2019-12-19,30329.95
1082,2019-12-20,
1083,2019-12-21,
1084,2019-12-22,
1085,2019-12-23,
1086,2019-12-24,
1087,2019-12-25,
1088,2019-12-26,
1089,2019-12-27,
1090,2019-12-28,
1091,2019-12-29,
1092,2019-12-30,
1093,2019-12-31,
1094,2020-01-01,981.6
1095,2020-01-02,
1096,2020-01-03,
1097,2020-01-04,
1098,2020-01-05,247833.25
1099,2020-01-06,
1100,2020-01-07,15047.36
